Lambda,Avg Turnaround Time,Total Throughput,CPU Utilization, Avg Processes in Ready Queue
10,0.0689048,9.87747,0.399143,0.277172
11,0.06971,11.1502,0.444766,0.324268
12,0.0801511,11.9198,0.485521,0.482952
13,0.0805498,12.802,0.515395,0.512449
14,0.0927583,14.0481,0.570164,0.7178
15,0.0978449,15.1993,0.603598,0.870313
16,0.108549,15.9411,0.635332,1.12399
17,0.119972,16.5394,0.661797,1.35526
18,0.143719,18.1187,0.721734,1.88511
19,0.161475,19.0225,0.764137,2.2622
20,0.209549,19.9473,0.793694,3.46435
21,0.267499,21.0023,0.846304,4.84132
22,0.333066,21.887,0.890561,6.37826
23,0.360671,22.9885,0.910348,7.28627
24,0.939113,23.8225,0.968547,21.2899
25,4.17901,24.3639,0.984065,102.46
26,6.58342,25.0699,0.999203,171.519
27,15.4634,25.3056,0.997568,424.824
28,24.9576,24.801,0.999927,695.579
29,28.7243,25.0684,0.999002,828.671
30,34.4125,25.04,0.999512,1029.71
