Scroll to bottom to see averages.
<Process #, arrival_time, requested_service_time>
<1, 0.133141, 0.751777>
<2, 0.356814, 1.78368>
<3, 0.408539, 1.01672>
<4, 1.27713, 0.369018>
<5, 1.47604, 0.316943>
<6, 1.68532, 0.83223>
<7, 1.8789, 2.45899>
<8, 2.01025, 0.163102>
<9, 2.57809, 1.26548>
<10, 2.89608, 2.26245>
<11, 3.11257, 6.26182>
<12, 3.21556, 2.91219>
<13, 4.11633, 0.37667>
<14, 4.17083, 1.29313>
<15, 4.32049, 0.0423945>
<16, 4.80419, 0.678173>
<17, 5.22616, 3.94316>
<18, 5.42226, 1.1034>
<19, 5.90452, 0.160664>
<20, 7.7873, 2.93837>
<21, 8.05971, 0.383984>
<22, 8.4184, 1.35119>
<23, 8.55125, 1.35868>
<24, 9.66205, 2.43189>
<25, 9.97097, 0.449648>
<26, 10.7962, 1.67305>
<27, 11.0195, 5.14554>
<28, 11.7289, 0.217158>
<29, 11.913, 1.97491>
<30, 13.1808, 0.836353>
<31, 14.3459, 0.778096>
<32, 14.3764, 0.640015>
<33, 14.7448, 0.48387>
<34, 14.8208, 0.151016>
<35, 15.2005, 0.125359>
<36, 15.2461, 3.0382>
<37, 15.533, 0.914253>
<38, 16.1237, 1.1087>
<39, 16.3331, 0.878782>
<40, 16.7695, 1.62494>
<41, 18.2369, 0.494588>
<42, 18.7146, 0.366868>
<43, 18.9572, 0.467403>
<44, 19.306, 1.1789>
<45, 19.4397, 0.550054>
<46, 19.5897, 0.147728>
<47, 21.249, 0.383114>
<48, 21.7199, 0.663851>
<49, 22.325, 1.3904>
<50, 22.8158, 0.266444>
<51, 23.8315, 1.24658>
<52, 23.9344, 0.364594>
<53, 24.1212, 2.11302>
<54, 25.9764, 1.06097>
<55, 26.2881, 0.81572>
<56, 26.5934, 0.528816>
<57, 28.0703, 0.0751138>
<58, 28.7028, 0.403781>
<59, 28.9979, 0.24858>
<60, 29.0103, 1.14048>
<61, 29.5256, 0.333643>
<62, 30.3766, 0.933884>
<63, 30.8371, 0.558124>
<64, 30.8855, 0.362157>
<65, 30.9839, 1.26376>
<66, 31.3697, 0.0487554>
<67, 31.6507, 1.28629>
<68, 31.8685, 1.35334>
<69, 32.3302, 0.398455>
<70, 32.5819, 0.0689996>
<71, 33.6691, 1.91369>
<72, 33.9935, 1.79685>
<73, 35.2875, 0.217121>
<74, 35.3785, 0.462928>
<75, 35.6468, 0.211935>
<76, 35.6729, 0.0602106>
<77, 35.9948, 2.02924>
<78, 36.5422, 0.0797227>
<79, 36.7179, 1.41684>
<80, 36.9573, 0.644404>
<81, 37.2794, 2.50325>
<82, 37.6491, 2.35239>
<83, 38.1626, 2.0852>
<84, 38.6825, 0.280671>
<85, 38.7968, 0.0428963>
<86, 38.9833, 0.0950622>
<87, 40.1076, 1.55479>
<88, 41.4018, 1.71081>
<89, 43.4674, 0.0956867>
<90, 43.5726, 0.509482>
<91, 43.7384, 0.27541>
<92, 44.0443, 1.41431>
<93, 44.1022, 0.13129>
<94, 44.9987, 0.520181>
<95, 46.0611, 0.240784>
<96, 47.1238, 0.439264>
<97, 47.1947, 0.516211>
<98, 47.3455, 1.48748>
<99, 47.509, 2.37334>
<100, 47.5185, 0.660297>
<101, 49.0047, 0.400743>
<102, 49.4313, 1.85326>
<103, 49.4947, 0.690846>
<104, 50.0378, 0.108564>
<105, 50.4838, 1.91324>
<106, 50.8324, 2.05833>
<107, 50.8813, 3.21138>
<108, 51.3774, 0.226202>
<109, 51.4206, 0.621336>
<110, 51.8888, 3.30479>
<111, 52.4535, 0.670684>
<112, 52.6455, 1.65513>
<113, 53.7576, 0.865431>
<114, 54.195, 0.187299>
<115, 54.5277, 0.920732>
<116, 55.0585, 0.570541>
<117, 56.4023, 0.25889>
<118, 56.5652, 0.0522363>
<119, 57.2142, 2.82363>
<120, 57.2977, 0.381319>
<121, 58.0852, 1.06666>
<122, 58.1902, 2.17285>
<123, 58.6682, 1.70712>
<124, 58.7146, 1.19826>
<125, 58.8798, 1.19277>
<126, 59.4215, 3.17363>
<127, 59.5239, 3.92995>
<128, 60.2525, 0.0802617>
<129, 60.6624, 0.430892>
<130, 60.8048, 0.0465109>
<131, 62.3215, 2.32315>
<132, 62.6487, 2.1524>
<133, 62.7184, 1.41998>
<134, 64.0827, 1.94538>
<135, 64.6828, 0.0926239>
<136, 64.7785, 0.677077>
<137, 65.4604, 0.45174>
<138, 65.6978, 0.446058>
<139, 65.7983, 0.628556>
<140, 65.8283, 0.62265>
<141, 65.9174, 1.27192>
<142, 66.1911, 0.428509>
<143, 66.7932, 0.209127>
<144, 67.0705, 0.300494>
<145, 67.4574, 1.11956>
<146, 67.6393, 0.674567>
<147, 68.0679, 1.53814>
<148, 68.3024, 1.22328>
<149, 68.6945, 0.369771>
<150, 69.1082, 0.277588>
<151, 69.3616, 1.33527>
<152, 70.0243, 0.153012>
<153, 70.0772, 0.119166>
<154, 70.4255, 0.331961>
<155, 70.858, 0.82068>
<156, 71.5432, 1.35572>
<157, 71.7071, 0.183432>
<158, 71.7547, 3.89403>
<159, 71.9749, 0.726505>
<160, 72.1116, 2.25455>
<161, 72.217, 0.785653>
<162, 72.4606, 1.45068>
<163, 72.6604, 1.42761>
<164, 72.9791, 2.06277>
<165, 73.015, 0.034728>
<166, 73.0762, 0.628856>
<167, 73.8133, 1.89433>
<168, 74.2824, 2.05133>
<169, 75.9165, 0.116998>
<170, 76.0001, 0.778485>
<171, 76.5548, 2.30143>
